Type,Section/Category,#,Question,TIRE Placement,Weight,Characteristics,Answer Type,Options
App Question,Basic Application Information,1,Can you briefly describe what this application does?,,,,text,
App Question,Basic Application Information,2,What is the primary business function or purpose of this application?,,,,select,"Business Application, IT Tool"
App Question,Basic Application Information,3,What are the key drivers for migrating this application?,,,,multiselect,"Planned for Decom, No funding, Want to use PaaS, Need to rearchitect, Not used, Business critical app, Higher Availability, Faster Deployments, DC Exit"
App Question,Basic Application Information,4,What is the size of the user base for this application?,,,,select,">10, >100, >250, >500, >1000, 1000"
App Question,Basic Application Information,5,"Is this application COTS (Commercial Off-the-Shelf), SaaS, or custom-built?",,,,select,"COTS/ISV, In-House Custom Built"
App Question,Contact Information,6,Who is the primary business owner of this application?,,,,text,
App Question,Contact Information,7,What is the email address of the application owner?,,,,text,
App Question,Contact Information,8,Who is the technical SME (subject matter expert) for this application?,,,,text,
App Question,Contact Information,9,What is the email address of the SME?,,,,text,
App Question,Contact Information,10,How would you rate the application owner's knowledge of Azure/cloud?,,,,select,"None, Limited, Moderate, High"
App Question,Contact Information,11,How would you rate the SME's knowledge of Azure/cloud?,,,,select,"None, Limited, Moderate, High"
App Question,Application Details,12,"Would you consider this application business-critical (i.e., a failure causes major impact)?",,,,select,"Yes, No"
App Question,Application Details,13,What is the criticality rating of the application (Low / Medium / High / Critical)?,,,,text,
App Question,Application Details,14,Is a disaster recovery solution in place for this app?,,,,select,"Yes, No"
App Question,Application Details,15,Is high availability configured for this application?,,,,select,"Yes, No"
App Question,Application Details,16,Does this application process or store personally identifiable information (PII)?,,,,select,"Critical, High, Medium, Low"
App Question,COTS Details (conditional),17,What is the name of the software?,,,,text,
App Question,COTS Details (conditional),18,Who is the vendor for this software?,,,,text,
App Question,COTS Details (conditional),19,What version is currently in use?,,,,text,
App Question,COTS Details (conditional),20,Is there a vendor/product website or URL?,,,,text,
App Question,COTS Details (conditional),21,Can this application or its components run in Azure as-is?,,,,select,"Yes, No, Not Known"
App Question,COTS Details (conditional),22,Can the application be modernized using Azure PaaS services?,,,,text,
App Question,COTS Details (conditional),23,Are there any constraints or special notes regarding this application's architecture?,,,,text,
App Question,Support Information,24,Which business unit or team is responsible for this application?,,,,text,
App Question,Support Information,25,"How is the application deployed (manual, semi-automated, CI/CD)?",,,,select,"Manual, Semi-Automated, CI/CD"
App Question,Support Information,26,What is your current backup and restore policy or retention period?,,,,select,"6 Months, 1 Year, 2 Years, 3 Years, 4 Years, 5 Years, >5 Years"
App Question,Support Information,27,Is this application supported internally or by a third-party vendor?,,,,select,"Internally Supported, External Vendor"
App Question,Support Information,28,Approximately how many people support this application?,,,,select,">5, >10, <10"
App Question,Support Information,29,How familiar is the support team with Azure/cloud services?,,,,select,"None, Limited, Moderate, High"
App Question,Health & Risk,30,What is your required data retention duration for disaster recovery or resilience?,,,,select,"6 Months, 1 Year, 2 Years, 3 Years, 4 Years, 5 Years, >5 Years"
App Question,Health & Risk,31,How stable is this application in its current form?,,,,select,"Stable, Intermittent Issues, Unstable"
App Question,Health & Risk,32,How well documented is this application and its support procedures?,,,,select,"Lacking, Detailed"
App Question,Health & Risk,33,Are backups currently enabled for this application?,,,,select,"Yes, No"
App Question,Health & Risk,34,What is the inherent risk level of this application?,,,,select,"None, Limited, Moderate, High"
Strategy Question,performance / stability,1,Is the current system stable and meeting our basic operational needs without significant issues?,Tolerate,5,IT Qualities,score 1-5,
Strategy Question,user satisfaction,2,Are users generally satisfied with the current system's performance and functionality?,Tolerate,3,IT Qualities,score 1-5,
Strategy Question,criticality,3,Is this system high-priority and a critical component of our business operations?,Tolerate,3,Business Value,score 1-5,
Strategy Question,Scalability,4,Are there no immediate plans for business expansion or changes that would impact the system's effectiveness?,Tolerate,4,Business Value,score 1-5,
Strategy Question,performance / stability,5,Does this system fulfill its basic intended purpose without causing significant bottlenecks or issues?,Tolerate,5,Business Value,score 1-5,
Strategy Question,cost/value,6,Are the maintenance and operational costs associated with this system reasonable and sustainable?,Tolerate,5,IT Qualities,score 1-5,
Strategy Question,architecture,7,Is the system's architecture compatible with our existing technology infrastructure and ecosystem?,Tolerate,4,IT Qualities,score 1-5,
Strategy Question,modernisation,8,Would the effort and resources required to replace or upgrade this system outweigh the benefits gained?,Tolerate,5,Business Value,score 1-5,
Strategy Question,legacy / tech debt,9,Is the system's lack of advanced features or modern technology hindering our current business processes?,Tolerate,3,Business Value,score 1-5,
Strategy Question,security,10,Are there any known critical security vulnerabilities associated with this system that would pose substantial risks?,Tolerate,5,IT Qualities,score 1-5,
Strategy Question,criticality,11,Is this system crucial to our core business functions and operational success?,Invest,5,Business Value,score 1-5,
Strategy Question,user satisfaction,12,Are users experiencing usability challenges or expressing dissatisfaction with the system's interface?,Invest,3,Business Value,score 1-5,
Strategy Question,user satisfaction,13,Could enhancements or improvements to this system lead to increased productivity or better customer experiences?,Invest,4,Business Value,score 1-5,
Strategy Question,competitive advantage,14,"Does this system offer features that our competitors do not have, potentially providing us with a competitive advantage?",Invest,5,Business Value,score 1-5,
Strategy Question,Integration,15,Are there clear opportunities to integrate this system with other critical tools or processes to streamline workflows?,Invest,3,IT Qualities,score 1-5,
