Header,Type,Values,Allow Blank,Show Error,SQL Type
Migration Drivers,list,"Planned for Decom, No funding, Want to use PaaS, Need to rearchitect, Not used, Business critical app, Higher Availability, Faster Deployments, DC Exit",TRUE,TRUE,
User Base,list,">10,>100,>250,>500,>1000,1000",TRUE,TRUE,
App Description,No Validation,—,,,varchar(max)
App Owner,No Validation,—,,,varchar(50)
App Owner Email,No Validation,—,,,varchar(100)
App Sme,No Validation,—,,,varchar(100)
App Sme Email,No Validation,—,,,varchar(100)
App Owner Azure Knowledge,list,"None, Limited, Moderate, High",TRUE,TRUE,varchar(100)
App Sme Azure Knowledge,List,"None,  Limited,  Moderate,  High",,,varchar(200)
App Function,list,"Business Application,IT Tool",TRUE,TRUE,varchar(max)
App Type,list,"COTS/ISV,In-House Custom Built",TRUE,TRUE,varchar(50)
Business Critical,list,"Yes,No",TRUE,TRUE,bit
App Criticality,No Validation,—,,,varchar(100)
Disaster Recovery,list,"Yes,No",TRUE,TRUE,varchar(100)
High Availiability,list,"Yes,No",TRUE,TRUE,varchar(100)
Pii Data,list,"Critical, High, Medium, Low",TRUE,TRUE,bit
App Type Cots Software Name,No Validation,—,,,nvarchar(300)
App Type Cots Vendor Name,No Validation,—,,,nvarchar(300)
App Type Cots Version Installed,No Validation,—,,,nvarchar(300)
App Type Cots Url,No Validation,—,,,nvarchar(300)
App Type Cots Can Run In Azure,list,"Yes,No,Not Known",TRUE,TRUE,nvarchar(300)
App Type Cots Can Modernised Paas,No Validation,—,,,nvarchar(500)
App Type Cots Notes,No Validation,—,,,nvarchar(max)
Business Unit,No Validation,—,,,varchar(50)
Deployment,list,"Manual, Semi-Automated,CI/CD",TRUE,TRUE,varchar(50)
Backup Restore Policies,list,"6 Months,1 Year,2 Years,3 Years,4 Years,5 Years,>5 Years",TRUE,TRUE,varchar(400)
Supported By,list,"Internally Supported, External Vendor",TRUE,TRUE,varchar(100)
Support Team Size,list,">5,>10,<10",TRUE,TRUE,varchar(100)
Support Team Azure Knowledge,list,"None, Limited, Moderate, High",TRUE,TRUE,varchar(100)
Resilience Data Retention,list,"6 Months,1 Year,2 Years,3 Years,4 Years,5 Years,>5 Years",TRUE,TRUE,varchar(100)
Health Stability,list,"Stable,Intermittent Issues,Unstable",TRUE,TRUE,varchar(100)
Health Documentation,list,"Lacking,Detailed",TRUE,TRUE,varchar(100)
Backups,list,"Yes,No",TRUE,TRUE,bit
Inherent Risk,list,"None,Limited,Moderate,High",TRUE,TRUE,—
Materiality,No Validation,—,,,
